Date,Delays,,,,,,,,,,,,,,,
22Dec88,11,,,,,,,,,,,,,,,
22Dec88,39,,,,,,,,,,,,,,,
22Dec88,46,,,,,,,,,,,,,,,
22Dec88,7,,,,,,,,,,,,,,,
22Dec88,33,,,,,,,,,,,,,,,
22Dec88,19,,,,,,,,,,,,,,,
22Dec88,21,,,,,,,,,,,,,,,
22Dec88,1,,,,,,,,,,,,,,,
22Dec88,3,,,,,,,,,,,,,,,
22Dec88,43,,,,,,,,,,,,,,,
22Dec88,23,,,,,,,,,,,,,,,
22Dec88,9,,,,,,,,,,,,,,,
22Dec88,0,,,,,,,,,,,,,,,
22Dec88,17,,,,,,,,,,,,,,,
22Dec88,35,,,,,,,,,,,,,,,
22Dec88,50,,,,,,,,,,,,,,,
22Dec88,0,,,,,,,,,,,,,,,
22Dec88,2,,,,,,,,,,,,,,,
22Dec88,1,,,,,,,,,,,,,,,
22Dec88,0,,,,,,,,,,,,,,,
23Dec88,6,,,,,,,,,,,,,,,
23Dec88,11,,,,,,,,,,,,,,,
23Dec88,8,,,,,,,,,,,,,,,
23Dec88,35,,,,,,,,,,,,,,,
23Dec88,36,,,,,,,,,,,,,,,
23Dec88,19,,,,,,,,,,,,,,,
23Dec88,21,,,,,,,,,,,,,,,
23Dec88,,,,,,,,,,,,,,,,
23Dec88,4,,,,,,,,,,,,,,,
23Dec88,6,,,,,,,,,,,,,,,
23Dec88,63,,,,,,,,,,,,,,,
23Dec88,35,,,,,,,,,,,,,,,
23Dec88,3,,,,,,,,,,,,,,,
23Dec88,12,,,,,,,,,,,,,,,
23Dec88,34,,,,,,,,,,,,,,,
23Dec88,9,,,,,,,,,,,,,,,
23Dec88,0,,,,,,,,,,,,,,,
23Dec88,46,,,,,,,,,,,,,,,
23Dec88,0,,,,,,,,,,,,,,,
23Dec88,0,,,,,,,,,,,,,,,
23Dec88,36,,,,,,,,,,,,,,,
23Dec88,3,,,,,,,,,,,,,,,
23Dec88,0,,,,,,,,,,,,,,,
23Dec88,14,,,,,,,,,,,,,,,
24Dec88,13,,,,,,,,,,,,,,,
24Dec88,2,,,,,,,,,,,,,,,
24Dec88,10,,,,,,,,,,,,,,,
24Dec88,4,,,,,,,,,,,,,,,
24Dec88,5,,,,,,,,,,,,,,,
24Dec88,22,,,,,,,,,,,,,,,
24Dec88,21,,,,,,,,,,,,,,,
24Dec88,44,,,,,,,,,,,,,,,
24Dec88,66,,,,,,,,,,,,,,,
24Dec88,13,,,,,,,,,,,,,,,
24Dec88,8,,,,,,,,,,,,,,,
24Dec88,3,,,,,,,,,,,,,,,
24Dec88,4,,,,,,,,,,,,,,,
24Dec88,27,,,,,,,,,,,,,,,
24Dec88,2,,,,,,,,,,,,,,,
24Dec88,12,,,,,,,,,,,,,,,
24Dec88,17,,,,,,,,,,,,,,,
24Dec88,22,,,,,,,,,,,,,,,
24Dec88,19,,,,,,,,,,,,,,,
24Dec88,36,,,,,,,,,,,,,,,
24Dec88,9,,,,,,,,,,,,,,,
24Dec88,72,,,,,,,,,,,,,,,
24Dec88,2,,,,,,,,,,,,,,,
24Dec88,4,,,,,,,,,,,,,,,
24Dec88,4,,,,,,,,,,,,,,,
25Dec88,4,,,,,,,,,,,,,,,
25Dec88,33,,,,,,,,,,,,,,,
25Dec88,35,,,,,,,,,,,,,,,
25Dec88,0,,,,,,,,,,,,,,,
25Dec88,11,,,,,,,,,,,,,,,
25Dec88,11,,,,,,,,,,,,,,,
25Dec88,10,,,,,,,,,,,,,,,
25Dec88,28,,,,,,,,,,,,,,,
25Dec88,34,,,,,,,,,,,,,,,
25Dec88,3,,,,,,,,,,,,,,,
25Dec88,24,,,,,,,,,,,,,,,
25Dec88,6,,,,,,,,,,,,,,,
25Dec88,17,,,,,,,,,,,,,,,
25Dec88,0,,,,,,,,,,,,,,,
25Dec88,8,,,,,,,,,,,,,,,
25Dec88,5,,,,,,,,,,,,,,,
25Dec88,7,,,,,,,,,,,,,,,
25Dec88,19,,,,,,,,,,,,,,,
25Dec88,9,,,,,,,,,,,,,,,
25Dec88,7,,,,,,,,,,,,,,,
25Dec88,21,,,,,,,,,,,,,,,
25Dec88,17,,,,,,,,,,,,,,,
25Dec88,17,,,,,,,,,,,,,,,
25Dec88,2,,,,,,,,,,,,,,,
25Dec88,6,,,,,,,,,,,,,,,
26Dec88,3,,,,,,,,,,,,,,,
26Dec88,8,,,,,,,,,,,,,,,
26Dec88,8,,,,,,,,,,,,,,,
26Dec88,2,,,,,,,,,,,,,,,
26Dec88,7,,,,,,,,,,,,,,,
26Dec88,7,,,,,,,,,,,,,,,
26Dec88,8,,,,,,,,,,,,,,,
26Dec88,2,,,,,,,,,,,,,,,
26Dec88,5,,,,,,,,,,,,,,,
26Dec88,9,,,,,,,,,,,,,,,
26Dec88,2,,,,,,,,,,,,,,,
26Dec88,8,,,,,,,,,,,,,,,
26Dec88,2,,,,,,,,,,,,,,,
26Dec88,10,,,,,,,,,,,,,,,
26Dec88,16,,,,,,,,,,,,,,,
26Dec88,9,,,,,,,,,,,,,,,
26Dec88,5,,,,,,,,,,,,,,,
26Dec88,14,,,,,,,,,,,,,,,
26Dec88,15,,,,,,,,,,,,,,,
26Dec88,1,,,,,,,,,,,,,,,
26Dec88,12,,,,,,,,,,,,,,,
26Dec88,2,,,,,,,,,,,,,,,
26Dec88,2,,,,,,,,,,,,,,,
26Dec88,14,,,,,,,,,,,,,,,
26Dec88,18,,,,,,,,,,,,,,,
